epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.335,2.57934,6.28753,1.75999,0.2728,0.5873,0.32728,0.13524,2.12802,4.43873,1.59096,0.00010003,0.00010003,0.00010003
2,303.353,1.56318,2.83796,1.22317,0.58346,0.81844,0.77406,0.44569,1.49793,2.84357,1.36199,0.000210106,0.000210106,0.000210106
3,486.8,1.2945,1.99085,1.17511,0.90006,0.91534,0.90113,0.5282,1.49282,2.21898,1.36001,0.000315655,0.000315655,0.000315655
